,category,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,imodulon_size,n_regs,single_gene,percent_anaero_essential,percent_aero_essential,explained_variance,genes
nitrogen_fixation,metabolism,,,,,,,,,12,,,0.0,0.0,0.01862965187694865,"['ZMO1_ZMO1823', 'ZMO1_ZMO1824', 'ZMO1_ZMO1825', 'ZMO1_ZMO1826', 'ZMO1_ZMO1827', 'ZMO1_ZMO1828', 'ZMO1_ZMO1829', 'ZMO1_ZMO1831', 'ZMO1_ZMO1832', 'ZMO1_ZMO1833', 'ZMO1_ZMO1834', 'ZMO1_ZMO2028']"
SG_1,single gene,,,,,,,,,1,,True,0.0,0.0,0.00116595752789872,['ZMO1_ZMO2070']
siderophore_receptor,transport,,,,,,,,,9,,,0.0,0.222222222,0.015617125332238913,"['ZMO1_ZMO0064', 'ZMO1_ZMO1540', 'ZMO1_ZMO1541', 'ZMO1_ZMO1631', 'ZMO1_ZMO1822', 'ZMO1_ZMO1850', 'ZMO1_ZMO1851', 'ZMO1_ZMO2056', 'ZMO1_ZMOp39x007']"
motility,structural,,,,,,,,,19,,,0.0,0.0,0.013538642806814938,"['ZMO1_ZMO0604', 'ZMO1_ZMO0605', 'ZMO1_ZMO0606', 'ZMO1_ZMO0607', 'ZMO1_ZMO0608', 'ZMO1_ZMO0609', 'ZMO1_ZMO0610', 'ZMO1_ZMO0611', 'ZMO1_ZMO0612', 'ZMO1_ZMO0613', 'ZMO1_ZMO0614', 'ZMO1_ZMO0627', 'ZMO1_ZMO0629', 'ZMO1_ZMO0631', 'ZMO1_ZMO0632', 'ZMO1_ZMO0634', 'ZMO1_ZMO0635', 'ZMO1_ZMO0636', 'ZMO1_ZMO0637']"
SG_2,single gene,,,,,,,,,1,,True,0.0,0.0,0.0057235022558934645,['ZMO1_ZMO2042']
SG_3,single gene,,,,,,,,,1,,True,0.0,0.0,0.002828907532294145,['ZMO1_ZMO0489']
phage_shock,stress response,,,,,,,,,4,,,0.0,0.0,0.011237448115753113,"['ZMO1_ZMO1062', 'ZMO1_ZMO1063', 'ZMO1_ZMO1064', 'ZMO1_ZMO1065']"
DNA_repair_maybe,poorly characterized,,,,,,,,,19,,,0.0,0.0,0.013848607907024357,"['ZMO1_ZMO1930', 'ZMO1_ZMO1931', 'ZMO1_ZMO1932', 'ZMO1_ZMO1936', 'ZMO1_ZMO1944', 'ZMO1_ZMO1945', 'ZMO1_ZMO1946', 'ZMO1_ZMO1950', 'ZMO1_ZMO1951', 'ZMO1_ZMO1952', 'ZMO1_ZMO1971', 'ZMO1_ZMO2032', 'ZMO1_ZMO2034', 'ZMO1_ZMO2035', 'ZMO1_ZMO2038', 'ZMO1_ZMO2039', 'ZMO1_ZMO2071', 'ZMO1_ZMO2076', 'ZMO1_ZMOp39x024']"
tetR_family_KO_2,experiment specific,,,,,,,,,4,,,0.0,0.0,0.003233192333994106,"['ZMO1_ZMO0281', 'ZMO1_ZMO0282', 'ZMO1_ZMO0283', 'ZMO1_ZMO0285']"
ethanol_fermentation,metabolism,,,,,,,,,20,,,0.0,0.05,0.032759038368166626,"['ZMO1_ZMO0122', 'ZMO1_ZMO0286', 'ZMO1_ZMO0309', 'ZMO1_ZMO0693', 'ZMO1_ZMO0740', 'ZMO1_ZMO0918', 'ZMO1_ZMO0994', 'ZMO1_ZMO1007', 'ZMO1_ZMO1060', 'ZMO1_ZMO1113', 'ZMO1_ZMO1133', 'ZMO1_ZMO1236', 'ZMO1_ZMO1237', 'ZMO1_ZMO1286', 'ZMO1_ZMO1289', 'ZMO1_ZMO1373', 'ZMO1_ZMO1410', 'ZMO1_ZMO1533', 'ZMO1_ZMO1754', 'ZMO1_ZMO1776']"
heat_response,stress response,,,,,,,,,48,,,0.041666667,0.0625,0.0823494546757586,"['ZMO1_ZMO0015', 'ZMO1_ZMO0016', 'ZMO1_ZMO0017', 'ZMO1_ZMO0134', 'ZMO1_ZMO0174', 'ZMO1_ZMO0203', 'ZMO1_ZMO0215', 'ZMO1_ZMO0246', 'ZMO1_ZMO0247', 'ZMO1_ZMO0256', 'ZMO1_ZMO0290', 'ZMO1_ZMO0362', 'ZMO1_ZMO0376', 'ZMO1_ZMO0478', 'ZMO1_ZMO0660', 'ZMO1_ZMO0885', 'ZMO1_ZMO0920', 'ZMO1_ZMO0948', 'ZMO1_ZMO0989', 'ZMO1_ZMO1011', 'ZMO1_ZMO1187', 'ZMO1_ZMO1271', 'ZMO1_ZMO1352', 'ZMO1_ZMO1401', 'ZMO1_ZMO1413', 'ZMO1_ZMO1414', 'ZMO1_ZMO1415', 'ZMO1_ZMO1424', 'ZMO1_ZMO1485', 'ZMO1_ZMO1545', 'ZMO1_ZMO1549', 'ZMO1_ZMO1614', 'ZMO1_ZMO1636', 'ZMO1_ZMO1659', 'ZMO1_ZMO1690', 'ZMO1_ZMO1696', 'ZMO1_ZMO1697', 'ZMO1_ZMO1698', 'ZMO1_ZMO1704', 'ZMO1_ZMO1705', 'ZMO1_ZMO1721', 'ZMO1_ZMO1928', 'ZMO1_ZMO1929', 'ZMO1_ZMO1992', 'ZMO1_ZMO2018', 'ZMO1_ZMO2041', 'ZMO1_ZMOp36x018', 'ZMO1_ZMOp36x048']"
zur_KO,experiment specific,,,,,,,,,4,,,0.0,0.0,0.005059201338637576,"['ZMO1_ZMO1940', 'ZMO1_ZMO1941', 'ZMO1_ZMO1943', 'ZMO1_ZMO2037']"
SG_4,single gene,,,,,,,,,1,,True,1.0,1.0,0.0024095975730101804,['ZMO1_ZMO1547']
unknown_1,uncharacterized,,,,,,,,,2,,,0.0,0.0,0.010567345517880855,"['ZMO1_ZMO0055', 'ZMO1_ZMO1849']"
noise_1,noise,,,,,,,,,15,,,0.133333333,0.2,0.0123602747147038,"['ZMO1_ZMO0095', 'ZMO1_ZMO0366', 'ZMO1_ZMO0442', 'ZMO1_ZMO0847', 'ZMO1_ZMO0889', 'ZMO1_ZMO1033', 'ZMO1_ZMO1283', 'ZMO1_ZMO1344', 'ZMO1_ZMO1684', 'ZMO1_ZMO1685', 'ZMO1_ZMO1694', 'ZMO1_ZMO1719', 'ZMO1_ZMO1779', 'ZMO1_ZMO1780', 'ZMO1_ZMO1859']"
motility_plasmid,structural,,,,,,,,,22,,,0.045454545,0.045454545,0.019382204572724215,"['ZMO1_ZMOp36x001', 'ZMO1_ZMOp36x002', 'ZMO1_ZMOp36x003', 'ZMO1_ZMOp36x004', 'ZMO1_ZMOp36x005', 'ZMO1_ZMOp36x006', 'ZMO1_ZMOp36x007', 'ZMO1_ZMOp36x008', 'ZMO1_ZMOp36x009', 'ZMO1_ZMOp36x010', 'ZMO1_ZMOp36x011', 'ZMO1_ZMOp36x012', 'ZMO1_ZMOp36x013', 'ZMO1_ZMOp36x014', 'ZMO1_ZMOp36x015', 'ZMO1_ZMOp36x041', 'ZMO1_ZMOp36x042', 'ZMO1_ZMOp36x043', 'ZMO1_ZMOp36x044', 'ZMO1_ZMOp36x045', 'ZMO1_ZMOp36x046', 'ZMO1_ZMOp36x047']"
unknown_2,uncharacterized,,,,,,,,,5,,,0.2,0.2,0.0012107900085525092,"['ZMO1_ZMO1047', 'ZMO1_ZMO1160', 'ZMO1_ZMO1162', 'ZMO1_ZMO1650', 'ZMO1_ZMO2077']"
unknown_3,uncharacterized,,,,,,,,,11,,True,0.0,0.0,0.0011782016017783947,"['ZMO1_ZMO0066', 'ZMO1_ZMO0134', 'ZMO1_ZMO1464', 'ZMO1_ZMO1829', 'ZMO1_ZMO1833', 'ZMO1_ZMO1973', 'ZMO1_ZMO2053', 'ZMO1_ZMO2062', 'ZMO1_ZMO2076', 'ZMO1_ZMOp36x001', 'ZMO1_ZMOp36x007']"
toxin_secretion,stress response,,,,,,,,,5,,,0.0,0.0,0.008526597645147849,"['ZMO1_ZMO0252', 'ZMO1_ZMO0253', 'ZMO1_ZMO0254', 'ZMO1_ZMO0255', 'ZMO1_ZMOp39x027']"
SG_5,single gene,ZMO0203+ZMO1235,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,2.0,True,0.0,0.0,0.00418286132300294,['ZMO1_ZMO0796']
regulatory_plasmid,regulatory,,,,,,,,,14,,,0.285714286,0.285714286,0.006237979683199835,"['ZMO1_ZMO1853', 'ZMO1_ZMOp32x014', 'ZMO1_ZMOp32x015', 'ZMO1_ZMOp33x029', 'ZMO1_ZMOp33x030', 'ZMO1_ZMOp36x004', 'ZMO1_ZMOp36x033', 'ZMO1_ZMOp36x034', 'ZMO1_ZMOp36x035', 'ZMO1_ZMOp36x036', 'ZMO1_ZMOp39x032', 'ZMO1_ZMOp39x033', 'ZMO1_ZMOp39x036', 'ZMO1_ZMOp39x037']"
low_pH_response,stress response,,,,,,,,,9,,,0.0,0.0,0.006627443962985313,"['ZMO1_ZMO0331', 'ZMO1_ZMO0448', 'ZMO1_ZMO0767', 'ZMO1_ZMO0905', 'ZMO1_ZMO1186', 'ZMO1_ZMO1344', 'ZMO1_ZMO1403', 'ZMO1_ZMO1685', 'ZMO1_ZMO1752']"
